pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocityroll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,aclCmd,brakeCmd,clutchCmd,geraCmd
223.865,372.019,2.07223,0.00916036,-4.1168e-08,2.08829,0.107257,1.94368e-08,-9.80606,2.08831,-2.03288e-09,0.0111412,-3.64476e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-3.04984e-08,0,0,0,1,0,0
223.865,372.019,2.07637,0.00895323,-4.12305e-08,2.06868,0.109256,1.99358e-08,-9.80604,2.0687,-2.08376e-09,0.011345,-3.64488e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-2.91128e-08,0,0,0,1,0,0
223.865,372.019,2.08047,0.00875408,-4.12909e-08,2.04907,0.111254,2.04347e-08,-9.80602,2.04909,-2.13464e-09,0.0115489,-3.645e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-2.78095e-08,0,0,0,1,0,0
223.866,372.019,2.08453,0.00856294,-4.13494e-08,2.02946,0.113253,2.09336e-08,-9.806,2.02948,-2.18551e-09,0.0117527,-3.64512e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-2.65849e-08,0,0,0,1,0,0
223.866,372.019,2.08855,0.00837978,-4.14058e-08,2.00985,0.115252,2.14326e-08,-9.80597,2.00986,-2.23639e-09,0.0119565,-3.64525e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-2.54356e-08,0,0,0,1,0,0
223.866,372.019,2.09253,0.00820462,-4.14603e-08,1.99024,0.117251,2.19315e-08,-9.80595,1.99025,-2.28727e-09,0.0121603,-3.64537e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-2.43584e-08,0,0,0,1,0,0
223.866,372.019,2.09647,0.00803746,-4.15128e-08,1.97063,0.119249,2.24304e-08,-9.80593,1.97064,-2.33814e-09,0.0123642,-3.64549e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-2.33501e-08,0,0,0,1,0,0
223.866,372.019,2.10037,0.00787829,-4.15632e-08,1.95102,0.121248,2.29293e-08,-9.8059,1.95103,-2.38902e-09,0.012568,-3.64561e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-2.24078e-08,0,0,0,1,0,0
223.866,372.019,2.10411,0.00772711,-4.16117e-08,1.87292,0.123247,2.34283e-08,-39.0493,1.87294,-2.44377e-09,0.0126966,-3.64574e-06,-2.73747e-08,0.0642967,-6.11456e-08,-9.68173e-07,-18.8082,0,0,0,1,0,0
223.866,372.019,2.10782,0.00773528,-4.16625e-08,1.85331,0.124508,2.39652e-08,-9.80586,1.85333,-2.49852e-09,0.0128252,-3.64586e-06,-2.73747e-08,0.0642967,-6.11456e-08,0,-2.07109e-08,0,0,0,1,0,0
223.866,372.019,2.11149,0.00774849,-4.17111e-08,1.8337,0.125769,2.45021e-08,-9.80584,1.83371,-2.55327e-09,0.0129538,-3.64598e-06,-2.73747e-08,0.0642967,-6.11456e-08,0,-2.0755e-08,0,0,0,1,0,0
223.866,372.019,2.11511,0.00776675,-4.17576e-08,1.81409,0.12703,2.5039e-08,-9.80583,1.8141,-2.60802e-09,0.0130824,-3.6461e-06,-2.73747e-08,0.0642967,-6.11456e-08,0,-2.08263e-08,0,0,0,1,0,0
223.866,372.019,2.1187,0.00779005,-4.18019e-08,1.79448,0.128291,2.55759e-08,-9.80581,1.79449,-2.66277e-09,0.013211,-3.64622e-06,-2.73747e-08,0.0642967,-6.11456e-08,0,-2.09249e-08,0,0,0,1,0,0
